"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
109,16,93,23,86,86.0,8.0,78.0,0.789,21.0,6.0,15.0,0.193,2.0,2.0,0.0,0.018,23.0,5.0,18.0,0.211,36.0,3.0,33.0,0.33,1630527,2021-22,1610612746,31.0,5.0,26.0,0.284,19.0,3.0,16.0,0.174
30,7,23,8,22,22.0,4.0,18.0,0.733,8.0,3.0,5.0,0.267,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.133,12.0,3.0,9.0,0.4,1630527,2022-23,1610612746,7.0,2.0,5.0,0.233,7.0,1.0,6.0,0.233
63,18,45,21,42,42.0,10.0,32.0,0.667,21.0,8.0,13.0,0.333,0.0,0.0,0.0,0.0,11.0,5.0,6.0,0.175,21.0,4.0,17.0,0.333,1641810,2024-25,1610612740,11.0,2.0,9.0,0.175,20.0,7.0,13.0,0.317
374,72,302,97,277,277.0,31.0,246.0,0.741,88.0,34.0,54.0,0.235,9.0,7.0,2.0,0.024,73.0,15.0,58.0,0.195,145.0,24.0,121.0,0.388,203482,2018-19,1610612748,94.0,13.0,81.0,0.251,62.0,20.0,42.0,0.166
115,36,79,37,78,78.0,13.0,65.0,0.678,27.0,13.0,14.0,0.235,10.0,10.0,0.0,0.087,29.0,12.0,17.0,0.252,42.0,15.0,27.0,0.365,203482,2024-25,1610612740,32.0,5.0,27.0,0.278,12.0,4.0,8.0,0.104
89,25,64,29,60,60.0,11.0,49.0,0.674,25.0,10.0,15.0,0.281,4.0,4.0,0.0,0.045,20.0,7.0,13.0,0.225,35.0,11.0,24.0,0.393,203482,2024-25,1610612761,25.0,3.0,22.0,0.281,9.0,4.0,5.0,0.101
359,71,288,106,253,253.0,23.0,230.0,0.705,97.0,41.0,56.0,0.27,9.0,7.0,2.0,0.025,88.0,17.0,71.0,0.245,158.0,25.0,133.0,0.44,203482,2016-17,1610612738,83.0,18.0,65.0,0.231,30.0,11.0,19.0,0.084
226,43,183,68,158,158.0,12.0,146.0,0.699,55.0,20.0,35.0,0.243,13.0,11.0,2.0,0.058,51.0,14.0,37.0,0.226,103.0,16.0,87.0,0.456,203482,2020-21,1610612745,55.0,8.0,47.0,0.243,17.0,5.0,12.0,0.075
260,44,216,69,191,191.0,17.0,174.0,0.735,62.0,25.0,37.0,0.238,7.0,2.0,5.0,0.027,54.0,3.0,51.0,0.208,113.0,18.0,95.0,0.435,203482,2020-21,1610612748,63.0,10.0,53.0,0.242,30.0,13.0,17.0,0.115
176,53,123,75,101,101.0,17.0,84.0,0.574,64.0,25.0,39.0,0.364,11.0,11.0,0.0,0.063,51.0,18.0,33.0,0.29,72.0,18.0,54.0,0.409,203482,2021-22,1610612765,39.0,10.0,29.0,0.222,14.0,7.0,7.0,0.08
424,86,338,159,265,265.0,28.0,237.0,0.625,140.0,42.0,98.0,0.33,19.0,16.0,3.0,0.045,136.0,25.0,111.0,0.321,168.0,31.0,137.0,0.396,203482,2017-18,1610612748,84.0,17.0,67.0,0.198,36.0,13.0,23.0,0.085
420,81,339,119,301,301.0,40.0,261.0,0.717,94.0,22.0,72.0,0.224,25.0,19.0,6.0,0.06,85.0,14.0,71.0,0.202,169.0,30.0,139.0,0.402,203482,2022-23,1610612762,108.0,18.0,90.0,0.257,58.0,19.0,39.0,0.138
150,43,107,55,95,95.0,16.0,79.0,0.633,48.0,22.0,26.0,0.32,7.0,5.0,2.0,0.047,45.0,16.0,29.0,0.3,62.0,14.0,48.0,0.413,203482,2023-24,1610612761,30.0,9.0,21.0,0.2,13.0,4.0,9.0,0.087
247,63,184,68,179,179.0,34.0,145.0,0.725,58.0,23.0,35.0,0.235,10.0,6.0,4.0,0.04,61.0,19.0,42.0,0.247,87.0,9.0,78.0,0.352,203482,2023-24,1610612762,57.0,14.0,43.0,0.231,42.0,21.0,21.0,0.17
274,69,205,89,185,185.0,28.0,157.0,0.675,69.0,24.0,45.0,0.252,20.0,17.0,3.0,0.073,79.0,21.0,58.0,0.288,96.0,21.0,75.0,0.35,203482,2015-16,1610612738,70.0,13.0,57.0,0.255,29.0,14.0,15.0,0.106
301,44,257,78,223,223.0,16.0,207.0,0.741,70.0,22.0,48.0,0.233,8.0,6.0,2.0,0.027,76.0,12.0,64.0,0.252,136.0,12.0,124.0,0.452,203482,2019-20,1610612748,70.0,11.0,59.0,0.233,19.0,9.0,10.0,0.063
135,27,108,22,113,113.0,20.0,93.0,0.837,21.0,6.0,15.0,0.156,1.0,1.0,0.0,0.007,8.0,3.0,5.0,0.059,19.0,4.0,15.0,0.141,1630631,2024-25,1610612740,41.0,6.0,35.0,0.304,67.0,14.0,53.0,0.496
126,25,101,25,101,101.0,17.0,84.0,0.802,24.0,8.0,16.0,0.19,1.0,0.0,1.0,0.008,6.0,1.0,5.0,0.048,25.0,5.0,20.0,0.198,1630631,2023-24,1610612740,44.0,6.0,38.0,0.349,51.0,13.0,38.0,0.405
99,25,74,17,82,82.0,15.0,67.0,0.828,14.0,8.0,6.0,0.141,3.0,2.0,1.0,0.03,8.0,3.0,5.0,0.081,22.0,3.0,19.0,0.222,1630631,2021-22,1610612740,33.0,6.0,27.0,0.333,36.0,13.0,23.0,0.364
141,28,113,34,107,107.0,19.0,88.0,0.759,32.0,8.0,24.0,0.227,2.0,1.0,1.0,0.014,14.0,5.0,9.0,0.099,27.0,8.0,19.0,0.191,1630631,2022-23,1610612740,49.0,6.0,43.0,0.348,51.0,9.0,42.0,0.362
207,64,143,96,111,111.0,22.0,89.0,0.536,89.0,35.0,54.0,0.43,7.0,7.0,0.0,0.034,62.0,21.0,41.0,0.3,83.0,20.0,63.0,0.401,1631255,2024-25,1610612740,37.0,10.0,27.0,0.179,24.0,12.0,12.0,0.116
596,252,344,276,320,320.0,73.0,247.0,0.537,220.0,131.0,89.0,0.369,56.0,48.0,8.0,0.094,207.0,101.0,106.0,0.347,276.0,100.0,176.0,0.463,1642274,2024-25,1610612740,80.0,32.0,48.0,0.134,33.0,19.0,14.0,0.055
15,1,14,3,12,12.0,1.0,11.0,0.8,3.0,0.0,3.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.133,5.0,0.0,5.0,0.333,1631311,2024-25,1610612740,5.0,0.0,5.0,0.333,3.0,1.0,2.0,0.2
4,3,1,1,3,3.0,2.0,1.0,0.75,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,1631311,2024-25,1610612755,1.0,1.0,0.0,0.25,2.0,1.0,1.0,0.5
70,20,50,17,53,53.0,14.0,39.0,0.757,16.0,5.0,11.0,0.229,1.0,1.0,0.0,0.014,16.0,6.0,10.0,0.229,28.0,3.0,25.0,0.4,1631311,2023-24,1610612744,17.0,3.0,14.0,0.243,9.0,8.0,1.0,0.129
3,1,2,1,2,2.0,1.0,1.0,0.667,1.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.333,1631311,2022-23,1610612744,1.0,0.0,1.0,0.333,1.0,0.0,1.0,0.333
156,25,131,32,124,124.0,17.0,107.0,0.795,30.0,7.0,23.0,0.192,2.0,1.0,1.0,0.013,8.0,3.0,5.0,0.051,66.0,7.0,59.0,0.423,1641722,2024-25,1610612740,44.0,3.0,41.0,0.282,37.0,12.0,25.0,0.237
146,29,117,30,116,116.0,22.0,94.0,0.795,27.0,7.0,20.0,0.185,3.0,0.0,3.0,0.021,24.0,5.0,19.0,0.164,53.0,3.0,50.0,0.363,1641722,2023-24,1610612740,26.0,3.0,23.0,0.178,42.0,18.0,24.0,0.288
266,46,220,42,224,224.0,34.0,190.0,0.842,40.0,11.0,29.0,0.15,2.0,1.0,1.0,0.008,32.0,6.0,26.0,0.12,81.0,13.0,68.0,0.305,1630530,2024-25,1610612740,80.0,6.0,74.0,0.301,73.0,21.0,52.0,0.274
277,42,235,57,220,220.0,21.0,199.0,0.794,50.0,18.0,32.0,0.181,7.0,3.0,4.0,0.025,38.0,7.0,31.0,0.137,93.0,9.0,84.0,0.336,1630530,2023-24,1610612740,66.0,7.0,59.0,0.238,80.0,19.0,61.0,0.289
146,47,99,45,101,101.0,23.0,78.0,0.692,37.0,17.0,20.0,0.253,8.0,7.0,1.0,0.055,20.0,9.0,11.0,0.137,43.0,16.0,27.0,0.295,1630530,2021-22,1610612740,49.0,12.0,37.0,0.336,33.0,9.0,24.0,0.226
281,59,222,80,201,201.0,36.0,165.0,0.715,74.0,19.0,55.0,0.263,6.0,4.0,2.0,0.021,45.0,15.0,30.0,0.16,91.0,13.0,78.0,0.324,1630530,2022-23,1610612740,70.0,9.0,61.0,0.249,75.0,22.0,53.0,0.267
314,110,204,108,206,206.0,48.0,158.0,0.656,93.0,49.0,44.0,0.296,15.0,13.0,2.0,0.048,85.0,26.0,59.0,0.271,118.0,36.0,82.0,0.376,1630526,2024-25,1610612740,79.0,29.0,50.0,0.252,32.0,19.0,13.0,0.102
72,22,50,22,50,50.0,6.0,44.0,0.694,16.0,12.0,4.0,0.222,6.0,4.0,2.0,0.083,22.0,10.0,12.0,0.306,30.0,8.0,22.0,0.417,1630526,2023-24,1610612740,10.0,1.0,9.0,0.139,10.0,3.0,7.0,0.139
274,75,199,118,156,156.0,26.0,130.0,0.569,101.0,35.0,66.0,0.369,17.0,14.0,3.0,0.062,85.0,24.0,61.0,0.31,107.0,24.0,83.0,0.391,1630526,2021-22,1610612760,48.0,11.0,37.0,0.175,34.0,16.0,18.0,0.124
180,71,109,86,94,94.0,23.0,71.0,0.522,70.0,35.0,35.0,0.389,16.0,13.0,3.0,0.089,72.0,29.0,43.0,0.4,68.0,25.0,43.0,0.378,1630526,2022-23,1610612760,25.0,6.0,19.0,0.139,15.0,11.0,4.0,0.083
273,26,247,45,228,228.0,23.0,205.0,0.835,43.0,3.0,40.0,0.158,2.0,0.0,2.0,0.007,13.0,2.0,11.0,0.048,68.0,1.0,67.0,0.249,1629632,2024-25,1610612741,92.0,3.0,89.0,0.337,100.0,20.0,80.0,0.366
283,27,256,58,225,225.0,20.0,205.0,0.795,53.0,6.0,47.0,0.187,5.0,1.0,4.0,0.018,22.0,2.0,20.0,0.078,81.0,2.0,79.0,0.286,1629632,2020-21,1610612741,103.0,1.0,102.0,0.364,77.0,22.0,55.0,0.272
183,18,165,37,146,146.0,13.0,133.0,0.798,31.0,3.0,28.0,0.169,6.0,2.0,4.0,0.033,20.0,1.0,19.0,0.109,66.0,4.0,62.0,0.361,1629632,2021-22,1610612741,51.0,2.0,49.0,0.279,46.0,11.0,35.0,0.251
211,15,196,43,168,168.0,12.0,156.0,0.796,42.0,2.0,40.0,0.199,1.0,1.0,0.0,0.005,24.0,2.0,22.0,0.114,58.0,2.0,56.0,0.275,1629632,2022-23,1610612741,70.0,4.0,66.0,0.332,59.0,7.0,52.0,0.28
348,42,306,68,280,280.0,35.0,245.0,0.805,64.0,5.0,59.0,0.184,4.0,2.0,2.0,0.011,19.0,3.0,16.0,0.055,87.0,3.0,84.0,0.25,1629632,2023-24,1610612741,126.0,6.0,120.0,0.362,116.0,30.0,86.0,0.333
231,28,203,38,193,193.0,19.0,174.0,0.835,34.0,6.0,28.0,0.147,4.0,3.0,1.0,0.017,25.0,0.0,25.0,0.108,71.0,4.0,67.0,0.307,1629632,2019-20,1610612741,83.0,5.0,78.0,0.359,52.0,19.0,33.0,0.225
249,53,196,82,167,167.0,18.0,149.0,0.671,73.0,28.0,45.0,0.293,9.0,7.0,2.0,0.036,55.0,11.0,44.0,0.221,87.0,18.0,69.0,0.349,1628366,2018-19,1610612747,51.0,7.0,44.0,0.205,56.0,17.0,39.0,0.225
119,26,93,38,81,81.0,15.0,66.0,0.681,37.0,10.0,27.0,0.311,1.0,1.0,0.0,0.008,21.0,3.0,18.0,0.176,38.0,7.0,31.0,0.319,1628366,2024-25,1610612741,24.0,3.0,21.0,0.202,36.0,13.0,23.0,0.303
262,33,229,50,212,212.0,18.0,194.0,0.809,46.0,11.0,35.0,0.176,4.0,4.0,0.0,0.015,50.0,9.0,41.0,0.191,80.0,5.0,75.0,0.305,1628366,2020-21,1610612740,73.0,5.0,68.0,0.279,59.0,14.0,45.0,0.225
189,35,154,53,136,136.0,11.0,125.0,0.72,49.0,23.0,26.0,0.259,4.0,1.0,3.0,0.021,25.0,4.0,21.0,0.132,59.0,13.0,46.0,0.312,1628366,2021-22,1610612741,54.0,4.0,50.0,0.286,51.0,14.0,37.0,0.27
351,64,287,85,266,266.0,30.0,236.0,0.758,70.0,25.0,45.0,0.199,15.0,9.0,6.0,0.043,70.0,14.0,56.0,0.199,107.0,17.0,90.0,0.305,1628366,2017-18,1610612747,97.0,17.0,80.0,0.276,77.0,16.0,61.0,0.219
370,68,302,84,286,286.0,36.0,250.0,0.773,72.0,22.0,50.0,0.195,12.0,10.0,2.0,0.032,68.0,14.0,54.0,0.184,119.0,19.0,100.0,0.322,1628366,2019-20,1610612740,92.0,13.0,79.0,0.249,91.0,22.0,69.0,0.246
556,124,432,146,410,410.0,62.0,348.0,0.737,129.0,49.0,80.0,0.232,17.0,13.0,4.0,0.031,123.0,25.0,98.0,0.221,227.0,22.0,205.0,0.408,1630581,2024-25,1610612741,121.0,27.0,94.0,0.218,85.0,50.0,35.0,0.153
509,111,398,128,381,381.0,55.0,326.0,0.749,114.0,45.0,69.0,0.224,14.0,11.0,3.0,0.028,104.0,29.0,75.0,0.204,201.0,33.0,168.0,0.395,1630581,2023-24,1610612760,125.0,15.0,110.0,0.246,79.0,34.0,45.0,0.155
420,98,322,114,306,306.0,47.0,259.0,0.729,100.0,37.0,63.0,0.238,14.0,14.0,0.0,0.033,92.0,14.0,78.0,0.219,161.0,30.0,131.0,0.383,1630581,2021-22,1610612760,114.0,25.0,89.0,0.271,53.0,29.0,24.0,0.126
598,147,451,167,431,431.0,64.0,367.0,0.721,149.0,69.0,80.0,0.249,18.0,14.0,4.0,0.03,126.0,43.0,83.0,0.211,233.0,46.0,187.0,0.39,1630581,2022-23,1610612760,160.0,27.0,133.0,0.268,79.0,31.0,48.0,0.132
65,14,51,10,55,55.0,12.0,43.0,0.846,10.0,2.0,8.0,0.154,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.077,11.0,1.0,10.0,0.169,1628975,2018-19,1610612763,17.0,3.0,14.0,0.262,32.0,10.0,22.0,0.492
39,4,35,3,36,36.0,4.0,32.0,0.923,3.0,0.0,3.0,0.077,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.077,7.0,2.0,5.0,0.179,1628975,2024-25,1610612741,9.0,0.0,9.0,0.231,20.0,2.0,18.0,0.513
92,16,76,14,78,78.0,13.0,65.0,0.848,12.0,1.0,11.0,0.13,2.0,2.0,0.0,0.022,8.0,2.0,6.0,0.087,15.0,0.0,15.0,0.163,1628975,2020-21,1610612756,31.0,1.0,30.0,0.337,38.0,13.0,25.0,0.413
42,5,37,4,38,38.0,4.0,34.0,0.905,4.0,1.0,3.0,0.095,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.024,11.0,1.0,10.0,0.262,1628975,2021-22,1610612749,10.0,0.0,10.0,0.238,20.0,4.0,16.0,0.476
67,9,58,8,59,59.0,9.0,50.0,0.881,7.0,0.0,7.0,0.104,1.0,0.0,1.0,0.015,7.0,0.0,7.0,0.104,10.0,2.0,8.0,0.149,1628975,2021-22,1610612751,16.0,0.0,16.0,0.239,34.0,7.0,27.0,0.507
201,35,166,24,177,177.0,25.0,152.0,0.881,23.0,10.0,13.0,0.114,1.0,0.0,1.0,0.005,11.0,5.0,6.0,0.055,31.0,2.0,29.0,0.154,1628975,2022-23,1610612749,56.0,6.0,50.0,0.279,103.0,22.0,81.0,0.512
59,11,48,6,53,53.0,10.0,43.0,0.898,6.0,1.0,5.0,0.102,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.051,7.0,0.0,7.0,0.119,1628975,2023-24,1610612741,17.0,2.0,15.0,0.288,32.0,9.0,23.0,0.542
118,30,88,18,100,100.0,22.0,78.0,0.847,18.0,8.0,10.0,0.153,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.085,26.0,5.0,21.0,0.22,1628975,2019-20,1610612756,29.0,4.0,25.0,0.246,53.0,19.0,34.0,0.449
354,88,266,156,198,198.0,29.0,169.0,0.559,134.0,48.0,86.0,0.379,22.0,11.0,11.0,0.062,121.0,33.0,88.0,0.342,167.0,33.0,134.0,0.472,1630188,2024-25,1610612741,48.0,12.0,36.0,0.136,18.0,10.0,8.0,0.051
37,7,30,11,26,26.0,2.0,24.0,0.703,11.0,5.0,6.0,0.297,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.324,16.0,4.0,12.0,0.432,1630188,2020-21,1610612756,4.0,0.0,4.0,0.108,5.0,1.0,4.0,0.135
168,46,122,59,109,109.0,12.0,97.0,0.649,50.0,26.0,24.0,0.298,9.0,8.0,1.0,0.054,59.0,19.0,40.0,0.351,77.0,17.0,60.0,0.458,1630188,2021-22,1610612754,24.0,5.0,19.0,0.143,8.0,5.0,3.0,0.048
123,47,76,50,73,73.0,13.0,60.0,0.593,37.0,22.0,15.0,0.301,13.0,12.0,1.0,0.106,30.0,13.0,17.0,0.244,69.0,21.0,48.0,0.561,1630188,2021-22,1610612756,19.0,9.0,10.0,0.154,5.0,4.0,1.0,0.041
394,129,265,174,220,220.0,44.0,176.0,0.558,146.0,65.0,81.0,0.371,28.0,20.0,8.0,0.071,138.0,49.0,89.0,0.35,174.0,48.0,126.0,0.442,1630188,2022-23,1610612754,55.0,17.0,38.0,0.14,27.0,15.0,12.0,0.069
330,111,219,156,174,174.0,32.0,142.0,0.527,132.0,63.0,69.0,0.4,24.0,16.0,8.0,0.073,130.0,48.0,82.0,0.394,140.0,39.0,101.0,0.424,1630188,2023-24,1610612754,48.0,16.0,32.0,0.145,12.0,8.0,4.0,0.036
930,220,710,389,541,541.0,59.0,482.0,0.582,299.0,98.0,201.0,0.322,90.0,63.0,27.0,0.097,345.0,86.0,259.0,0.371,402.0,69.0,333.0,0.432,202696,2018-19,1610612753,129.0,36.0,93.0,0.139,54.0,29.0,25.0,0.058
730,177,553,300,430,430.0,55.0,375.0,0.589,261.0,94.0,167.0,0.358,39.0,28.0,11.0,0.053,217.0,59.0,158.0,0.297,314.0,66.0,248.0,0.43,202696,2024-25,1610612741,142.0,20.0,122.0,0.195,57.0,32.0,25.0,0.078
765,166,599,341,424,424.0,43.0,381.0,0.554,283.0,88.0,195.0,0.37,58.0,35.0,23.0,0.076,277.0,51.0,226.0,0.362,324.0,61.0,263.0,0.424,202696,2016-17,1610612753,114.0,26.0,88.0,0.149,50.0,28.0,22.0,0.065
301,60,241,112,189,189.0,14.0,175.0,0.628,95.0,31.0,64.0,0.316,17.0,15.0,2.0,0.056,124.0,26.0,98.0,0.412,132.0,19.0,113.0,0.439,202696,2020-21,1610612741,32.0,9.0,23.0,0.106,13.0,6.0,7.0,0.043
514,87,427,187,327,327.0,26.0,301.0,0.636,159.0,43.0,116.0,0.309,28.0,18.0,10.0,0.054,194.0,32.0,162.0,0.377,212.0,25.0,187.0,0.412,202696,2020-21,1610612753,80.0,12.0,68.0,0.156,28.0,18.0,10.0,0.054
800,141,659,321,479,479.0,41.0,438.0,0.599,283.0,74.0,209.0,0.354,38.0,26.0,12.0,0.048,298.0,57.0,241.0,0.373,358.0,44.0,314.0,0.448,202696,2021-22,1610612741,108.0,19.0,89.0,0.135,36.0,21.0,15.0,0.045
513,97,416,210,303,303.0,33.0,270.0,0.591,174.0,42.0,132.0,0.339,36.0,22.0,14.0,0.07,212.0,23.0,189.0,0.413,200.0,39.0,161.0,0.39,202696,2017-18,1610612753,69.0,16.0,53.0,0.135,32.0,19.0,13.0,0.062
884,152,732,323,561,561.0,38.0,523.0,0.635,280.0,87.0,193.0,0.317,43.0,27.0,16.0,0.049,315.0,55.0,260.0,0.356,393.0,48.0,345.0,0.445,202696,2022-23,1610612741,128.0,27.0,101.0,0.145,48.0,22.0,26.0,0.054
766,203,563,294,472,472.0,64.0,408.0,0.616,239.0,90.0,149.0,0.312,55.0,49.0,6.0,0.072,265.0,87.0,178.0,0.346,322.0,63.0,259.0,0.42,202696,2023-24,1610612741,125.0,27.0,98.0,0.163,53.0,26.0,27.0,0.069
558,165,393,252,306,306.0,66.0,240.0,0.548,208.0,68.0,140.0,0.373,44.0,31.0,13.0,0.079,196.0,51.0,145.0,0.351,224.0,41.0,183.0,0.401,202696,2015-16,1610612753,87.0,35.0,52.0,0.156,51.0,38.0,13.0,0.091
666,138,528,268,398,398.0,45.0,353.0,0.598,219.0,58.0,161.0,0.329,49.0,35.0,14.0,0.074,263.0,69.0,194.0,0.395,271.0,37.0,234.0,0.407,202696,2019-20,1610612753,99.0,15.0,84.0,0.149,33.0,17.0,16.0,0.05
161,26,135,28,133,133.0,15.0,118.0,0.826,27.0,10.0,17.0,0.168,1.0,1.0,0.0,0.006,15.0,2.0,13.0,0.093,39.0,7.0,32.0,0.242,1630245,2024-25,1610612741,44.0,6.0,38.0,0.273,63.0,11.0,52.0,0.391
208,54,154,39,169,169.0,37.0,132.0,0.813,37.0,15.0,22.0,0.178,2.0,2.0,0.0,0.01,19.0,5.0,14.0,0.091,48.0,12.0,36.0,0.231,1630245,2023-24,1610612741,49.0,8.0,41.0,0.236,92.0,29.0,63.0,0.442
214,27,187,47,167,167.0,17.0,150.0,0.78,44.0,7.0,37.0,0.206,3.0,3.0,0.0,0.014,28.0,3.0,25.0,0.131,72.0,4.0,68.0,0.336,1630245,2021-22,1610612741,50.0,5.0,45.0,0.234,64.0,15.0,49.0,0.299
215,44,171,40,175,175.0,28.0,147.0,0.814,35.0,11.0,24.0,0.163,5.0,5.0,0.0,0.023,30.0,9.0,21.0,0.14,47.0,8.0,39.0,0.219,1630245,2022-23,1610612741,53.0,2.0,51.0,0.247,85.0,25.0,60.0,0.395
3,1,2,0,3,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,1642443,2024-25,1610612741,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.667
319,105,214,158,161,161.0,30.0,131.0,0.505,127.0,50.0,77.0,0.398,31.0,25.0,6.0,0.097,93.0,39.0,54.0,0.292,142.0,37.0,105.0,0.445,1628380,2018-19,1610612757,60.0,15.0,45.0,0.188,24.0,14.0,10.0,0.075
187,64,123,91,96,96.0,21.0,75.0,0.513,78.0,33.0,45.0,0.417,13.0,10.0,3.0,0.07,61.0,26.0,35.0,0.326,70.0,18.0,52.0,0.374,1628380,2024-25,1610612741,40.0,12.0,28.0,0.214,16.0,8.0,8.0,0.086
100,38,62,52,48,48.0,12.0,36.0,0.48,48.0,23.0,25.0,0.48,4.0,3.0,1.0,0.04,29.0,6.0,23.0,0.29,42.0,17.0,25.0,0.42,1628380,2024-25,1610612759,19.0,9.0,10.0,0.19,10.0,6.0,4.0,0.1
152,46,106,59,93,93.0,16.0,77.0,0.612,47.0,19.0,28.0,0.309,12.0,11.0,1.0,0.079,53.0,18.0,35.0,0.349,69.0,16.0,53.0,0.454,1628380,2021-22,1610612759,24.0,7.0,17.0,0.158,6.0,5.0,1.0,0.039
218,43,175,76,142,142.0,17.0,125.0,0.651,66.0,20.0,46.0,0.303,10.0,6.0,4.0,0.046,59.0,11.0,48.0,0.271,99.0,17.0,82.0,0.454,1628380,2017-18,1610612757,42.0,8.0,34.0,0.193,18.0,7.0,11.0,0.083
388,112,276,179,209,209.0,31.0,178.0,0.539,145.0,55.0,90.0,0.374,34.0,26.0,8.0,0.088,137.0,52.0,85.0,0.353,153.0,38.0,115.0,0.394,1628380,2022-23,1610612759,71.0,13.0,58.0,0.183,27.0,9.0,18.0,0.07
363,118,245,152,211,211.0,45.0,166.0,0.581,129.0,54.0,75.0,0.355,23.0,19.0,4.0,0.063,114.0,44.0,70.0,0.314,149.0,46.0,103.0,0.41,1628380,2023-24,1610612759,68.0,17.0,51.0,0.187,32.0,11.0,21.0,0.088
69,25,44,30,39,39.0,9.0,30.0,0.565,22.0,9.0,13.0,0.319,8.0,7.0,1.0,0.116,20.0,9.0,11.0,0.29,29.0,9.0,20.0,0.42,1628380,2019-20,1610612757,16.0,5.0,11.0,0.232,4.0,2.0,2.0,0.058
244,59,185,56,188,188.0,36.0,152.0,0.77,53.0,21.0,32.0,0.217,3.0,2.0,1.0,0.012,13.0,0.0,13.0,0.053,70.0,12.0,58.0,0.287,1628989,2018-19,1610612737,83.0,20.0,63.0,0.34,78.0,27.0,51.0,0.32
85,11,74,20,65,65.0,5.0,60.0,0.765,16.0,4.0,12.0,0.188,4.0,2.0,2.0,0.047,9.0,2.0,7.0,0.106,25.0,5.0,20.0,0.294,1628989,2024-25,1610612741,24.0,2.0,22.0,0.282,27.0,2.0,25.0,0.318
120,19,101,23,97,97.0,15.0,82.0,0.808,23.0,4.0,19.0,0.192,0.0,0.0,0.0,0.0,13.0,1.0,12.0,0.108,32.0,4.0,28.0,0.267,1628989,2024-25,1610612758,39.0,2.0,37.0,0.325,36.0,12.0,24.0,0.3
231,38,193,54,177,177.0,16.0,161.0,0.766,48.0,17.0,31.0,0.208,6.0,5.0,1.0,0.026,20.0,4.0,16.0,0.087,62.0,10.0,52.0,0.268,1628989,2020-21,1610612737,74.0,9.0,65.0,0.32,75.0,15.0,60.0,0.325
254,32,222,49,205,205.0,23.0,182.0,0.807,45.0,6.0,39.0,0.177,4.0,3.0,1.0,0.016,30.0,7.0,23.0,0.118,71.0,6.0,65.0,0.28,1628989,2021-22,1610612737,66.0,2.0,64.0,0.26,87.0,17.0,70.0,0.343
251,42,209,47,204,204.0,23.0,181.0,0.813,42.0,14.0,28.0,0.167,5.0,5.0,0.0,0.02,23.0,5.0,18.0,0.092,76.0,7.0,69.0,0.303,1628989,2022-23,1610612758,92.0,13.0,79.0,0.367,60.0,17.0,43.0,0.239
220,38,182,44,176,176.0,22.0,154.0,0.8,40.0,16.0,24.0,0.182,4.0,0.0,4.0,0.018,17.0,2.0,15.0,0.077,83.0,7.0,76.0,0.377,1628989,2023-24,1610612758,60.0,12.0,48.0,0.273,60.0,17.0,43.0,0.273
229,36,193,38,191,191.0,17.0,174.0,0.834,35.0,16.0,19.0,0.153,3.0,3.0,0.0,0.013,18.0,6.0,12.0,0.079,66.0,6.0,60.0,0.288,1628989,2019-20,1610612737,81.0,9.0,72.0,0.354,64.0,15.0,49.0,0.279
